question,answer
What is the capital of France?,Paris
Who invented the telephone?,Alexander Graham Bell
Which planet is known as the Red Planet?,Mars
What is the largest ocean on Earth?,Pacific Ocean
In which year did World War II end?,1945
What is the currency of Japan?,Yen
Which country has the most number of time zones?,France
Who is known as the Father of Computers?,Charles Babbage
Which element has the chemical symbol 'O'?,Oxygen
What is the tallest mountain in the world?,Mount Everest
Which country is known as the Land of the Rising Sun?,Japan
Who wrote the play 'Romeo and Juliet'?,William Shakespeare
Which continent has the most countries?,Africa
What is the capital of Brazil?,Brasília
Which is the longest river in the world?,Nile
What is the smallest country in the world?,Vatican City
Which scientist developed the theory of relativity?,Albert Einstein
What is the national language of Canada?,English and French
Which organ purifies our blood?,Kidney
What is the boiling point of water?,100°C
